date,y
2024-03-18 11:00:00,1.88768
2024-03-18 12:00:00,1.87452
2024-03-18 13:00:00,1.88177
2024-03-18 14:00:00,1.89423
2024-03-18 15:00:00,1.89418
2024-03-18 16:00:00,1.91123
2024-03-18 17:00:00,1.91411
2024-03-18 18:00:00,1.92229
2024-03-18 19:00:00,1.9441
2024-03-18 20:00:00,1.93915
2024-03-18 21:00:00,1.96197
2024-03-18 22:00:00,1.96076
2024-03-18 23:00:00,1.96681
2024-03-19 00:00:00,2.0047
2024-03-19 01:00:00,2.02676
2024-03-19 02:00:00,2.04672
2024-03-19 03:00:00,2.05379
2024-03-19 04:00:00,2.08439
2024-03-19 05:00:00,2.10459
2024-03-19 06:00:00,2.12728
2024-03-19 07:00:00,2.14481
2024-03-19 08:00:00,2.15296
2024-03-19 09:00:00,2.15752
2024-03-19 10:00:00,2.19131
2024-03-19 11:00:00,2.21997
2024-03-19 12:00:00,2.22376
2024-03-19 13:00:00,2.23279
2024-03-19 14:00:00,2.24508
2024-03-19 15:00:00,2.25046
2024-03-19 16:00:00,2.25987
2024-03-19 17:00:00,2.2662
2024-03-19 18:00:00,2.26986
2024-03-19 19:00:00,2.2783
2024-03-19 20:00:00,2.27205
2024-03-19 21:00:00,2.27705
2024-03-19 22:00:00,2.29662
2024-03-19 23:00:00,2.28387
2024-03-20 00:00:00,2.28207
2024-03-20 01:00:00,2.29947
2024-03-20 02:00:00,2.30026
2024-03-20 03:00:00,2.30016
2024-03-20 04:00:00,2.30702
2024-03-20 05:00:00,2.29562
2024-03-20 06:00:00,2.30829
2024-03-20 07:00:00,2.32205
2024-03-20 08:00:00,2.31541
2024-03-20 09:00:00,2.33258
2024-03-20 10:00:00,2.32289
2024-03-20 11:00:00,2.32572
2024-03-20 12:00:00,2.33295
2024-03-20 13:00:00,2.33756
2024-03-20 14:00:00,2.35141
2024-03-20 15:00:00,2.34455
2024-03-20 16:00:00,2.34219
2024-03-20 17:00:00,2.33172
2024-03-20 18:00:00,2.33126
2024-03-20 19:00:00,2.3183
2024-03-20 20:00:00,2.30834
2024-03-20 21:00:00,2.30431
2024-03-20 22:00:00,2.30855
2024-03-20 23:00:00,2.29768
2024-03-21 00:00:00,2.31447
2024-03-21 01:00:00,2.31303
2024-03-21 02:00:00,2.33345
2024-03-21 03:00:00,2.36771
2024-03-21 04:00:00,2.38795
2024-03-21 05:00:00,2.42741
2024-03-21 06:00:00,2.47845
2024-03-21 07:00:00,2.52877
2024-03-21 08:00:00,2.57758
2024-03-21 09:00:00,2.63854
2024-03-21 10:00:00,2.68686
2024-03-21 11:00:00,2.73151
2024-03-21 12:00:00,2.77175
2024-03-21 13:00:00,2.81366
2024-03-21 14:00:00,2.83912
2024-03-21 15:00:00,2.85666
2024-03-21 16:00:00,2.86666
2024-03-21 17:00:00,2.86308
2024-03-21 18:00:00,2.86492
2024-03-21 19:00:00,2.85636
2024-03-21 20:00:00,2.85498
2024-03-21 21:00:00,2.84451
2024-03-21 22:00:00,2.82426
2024-03-21 23:00:00,2.81474
2024-03-22 00:00:00,2.36568
2024-03-22 01:00:00,2.44157
2024-03-22 02:00:00,2.53621
2024-03-22 03:00:00,2.61573
2024-03-22 04:00:00,2.68324
2024-03-22 05:00:00,2.75532
2024-03-22 06:00:00,2.82229
2024-03-22 07:00:00,2.86354
2024-03-22 08:00:00,2.90275
2024-03-22 09:00:00,2.92765
2024-03-22 10:00:00,2.9345
2024-03-22 11:00:00,2.92592
2024-03-22 12:00:00,2.89379
2024-03-22 13:00:00,2.8613
2024-03-22 14:00:00,2.80764
2024-03-22 15:00:00,2.7724
2024-03-22 16:00:00,2.70544
2024-03-22 17:00:00,2.64335
2024-03-22 18:00:00,2.58023
2024-03-22 19:00:00,2.51975
2024-03-22 20:00:00,2.47423
2024-03-22 21:00:00,2.44622
2024-03-22 22:00:00,2.39566
2024-03-22 23:00:00,2.37166
2024-03-23 00:00:00,2.33729
2024-03-23 01:00:00,2.31717
2024-03-23 02:00:00,2.31893
2024-03-23 03:00:00,2.30017
2024-03-23 04:00:00,2.30386
2024-03-23 05:00:00,2.29757
2024-03-23 06:00:00,2.29259
2024-03-23 07:00:00,2.29325
2024-03-23 08:00:00,2.29742
